Name,Material,Spec,Quantity,Unit,Remarks,Time
,铝合金,350-海蓝砂纹（3.07米）,72,根,,2020-06-25 09:18:40
,铝合金,350-桔黄砂纹（3.07米）,60,根,,2020-06-25 09:15:40
,铝合金,ZA33-喷砂拉丝亮金（3.05米）,1330,根,,2020-06-25 09:10:43
,铝合金,ZA33-喷砂拉丝亚黑（3.05米）,154,根,,2020-06-25 09:09:21
,铝合金,ZA72-喷砂拉丝亮金（3.05米）,6160,根,,2020-06-25 09:08:30
,铝合金,ZA72-喷砂拉丝亚黑（3.05米）,360,根,,2020-06-25 09:07:37
,铝合金,ZA64-喷砂拉丝亚黑（3.05米）,380,根,,2020-06-25 09:07:14
,铝合金,ZA34-白砂纹（3.07米）,410,根,,2020-06-25 09:05:01
,铝合金,ZA33-白砂纹（3.07米）,308,根,,2020-06-25 09:04:36
,铝合金,ZA32-白砂纹（3.07米）,12,根,,2020-06-25 09:03:56
,铝合金,ZA53-黑砂纹（3.07米）,52,根,,2020-06-25 09:02:05
,铝合金,508-喷砂拉丝亚银（3.05米）,210,根,,2020-06-25 08:58:36
,铝合金,508-喷砂拉丝亚银（3.05米）,1184,根,,2020-06-25 08:57:36
,铝合金,508-喷砂三酸拉丝亮银（3.05米）,90,根,,2020-06-25 08:56:57
,铝合金,508-喷砂拉丝亚黑（3.05米）,1610,根,,2020-06-25 08:56:17
,铝合金,508-喷砂三酸拉丝亮金（3.05米）,846,根,,2020-06-25 08:55:28
,铝合金,508-白砂纹（3.07米）,47,根,,2020-06-25 08:52:29
,铝合金,508-黑砂纹（3.07米）,304,根,,2020-06-25 08:46:06
,铝合金,508-灰砂纹（3.07米）,230,根,,2020-06-25 08:45:28
,铝合金,508-棕砂纹（3.07米）,340,根,,2020-06-25 08:44:35
,铝合金,320-喷砂三酸拉丝亮金（3.05米）,1500,根,,2020-06-25 08:44:03
,铝合金,320-喷砂拉丝亚黑（3.05米）,180,根,,2020-06-25 08:43:08
,铝合金,320-白砂纹（3.07米）,61,根,,2020-06-25 08:42:24
,铝合金,350-喷砂三酸拉丝亮金（3.05米）,419,根,,2020-06-25 08:41:53
,铝合金,350-喷砂三酸拉丝玫瑰金（3.05米）,1107,根,,2020-06-25 08:41:21
,铝合金,350-喷砂拉丝亚银（3.05米）,1075,根,,2020-06-25 08:40:21
,铝合金,350-喷砂拉丝亚黑（3.05米）,240,根,,2020-06-25 08:39:34
,铝合金,350-灰砂纹（3.07米）,390,根,,2020-06-25 08:38:57
,铝合金,350-浅咖色砂纹（3.07米）,1089,根,,2020-06-25 08:38:26
,铝合金,350-绿砂纹（3.07米）,540,根,,2020-06-25 08:37:02
,铝合金,350-咖色砂纹（3.07米）,146,根,,2020-06-25 08:36:26
,铝合金,350-黄砂纹（3.07米）,240,根,,2020-06-25 08:35:35
,铝合金,350-蓝砂纹（3.07米）,268,根,,2020-06-25 08:34:17
,铝合金,350-红砂纹（3.07米）,330,根,,2020-06-25 08:33:26
,铝合金,350-棕色砂纹（3.07米）,290,根,,2020-06-25 08:32:50
,铝合金,350-黑砂纹（3.07米）,230,根,,2020-06-25 08:32:05
,铝合金,350-白砂纹（3.07米）,1775,根,,2020-06-25 08:29:02
,铝合金,ZA55-白砂纹（3.07米）,166,根,,2020-06-25 06:42:16
,铝合金,ZA57-白砂纹（3.07米）,220,根,,2020-06-25 06:40:47
,铝合金,ZA57-铬化（3.07米）,220,根,,2020-06-25 06:36:22
,铝合金,ZA61-白砂纹（3.07米）,204,根,,2020-06-25 06:35:06
,铝合金,X350609-ZH(3.07米),560,根,,2020-06-25 06:28:42
,铝合金,320-铬化（3.07米）,2141,根,,2020-06-25 06:25:49
,铝合金,508-铬化（3.07米）,426,根,,2020-06-25 06:25:00
,铝合金,350-铬化（3.07米）,334,根,,2020-06-25 06:23:03
,铝合金,ZA33-铬化（3.07米）,84,根,,2020-06-25 06:22:16
,铝合金,ZA35-铬化（3.07米）,83,根,,2020-06-25 06:21:37
,铝合金,ZA57-铬化（3.07米）,916,根,,2020-06-25 06:20:48
,铝合金,ZA65 (P450637)-铬化（3.07米）,869,根,,2020-06-25 06:20:04
,铝合金,ZA64 (X240710)-铬化（3.07米）,1225,根,,2020-06-25 06:19:27
,铝合金,ZA44 (H220910)-铬化（3.07米）,1300,根,,2020-06-25 06:18:44
,铝合金,ZA56 (X400922)-铬化（3.07米）,1160,根,,2020-06-25 06:17:44
,铝合金,ZA36 (X311215)-铬化（3.07米）,1212,根,,2020-06-25 06:16:46
,铝合金,P400900(圆）-不时效（1.93）,1000,根,,2020-06-25 06:16:03
,铝合金,P400900(圆）-不时效（3.07）,2039,根,,2020-06-25 06:15:13
,铝合金,ZA45 (H490737)-铬化（3.07米）,1170,根,,2020-06-25 06:14:14
,铝合金,ZA29 (H381122)-铬化（3.07米）,1180,根,,2020-06-25 06:13:22
,铝合金,ZA58 (P400622)-铬化（3.07米）,1292,根,,2020-06-25 06:11:47
,铝合金,508-喷砂三酸拉丝亮银（3.05米）,30,根,,2020-06-25 05:55:24
,铝合金,ZA58 (P400622)-铬化（3.07米）,55,根,,2020-06-25 05:45:49
,铝合金,ZA45 (H490737)-铬化（3.07米）,17,根,,2020-06-25 05:42:58
,铝合金,ZA44 (H220910)-铬化（3.07米）,4,根,,2020-06-25 05:42:14
,铝合金,320-喷砂拉丝亚银（3.05米）,131,根,,2020-06-25 05:00:26
,铝合金,350-蓝砂纹（3.07米）,48,根,,2020-06-22 08:49:28
,铝合金,350-红砂纹（3.07米）,337,根,,2020-06-22 08:44:14
,铝合金,350-蓝砂纹（3.07米）,198,根,,2020-06-22 08:43:36
,铝合金,350-黑砂纹（3.07米）,230,根,,2020-06-22 08:43:10
,铝合金,350-灰砂纹（3.07米）,392,根,,2020-06-22 08:42:42
,铝合金,350-绿砂纹（3.07米）,540,根,,2020-06-22 08:42:17
,铝合金,350-白砂纹（3.07米）,1530,根,,2020-06-22 08:41:50
,铝合金,508-铬化（3.07米）,456,根,,2020-06-21 13:38:13
,方料,21*35.5-3.02米,989,根,,2020-05-15 04:09:49
,方料,19*35（34）-3.02米,10605,根,,2020-05-15 04:09:08
,铝合金,350-喷砂拉丝亚黑（3.05米）,1088,根,,2020-05-15 03:52:50
,型材,PF36-15*80（2.44米）,750,根,,2020-04-18 07:27:48
,铝合金,ZA57-铬化（3.07米）,868,根,,2020-04-18 06:46:04
,型材,PF01-18*33-3.02米,1520,根,,2020-04-18 06:43:13
,配件,螺丝银色（6*6）,50000,颗,,2020-04-18 06:38:50
,型材,PF31-20*22-12U-2.43米（LVL）,1143,根,,2020-04-18 06:35:09
,铝合金,320-铬化（3.07米）,120,根,,2020-04-18 06:21:08
,铝合金,320-喷砂拉丝亚银（3.05米）,539,根,,2020-04-17 06:38:55
,型材,PF01-18*33-3.02米,108,根,,2020-04-16 04:21:27
,方料,23*43-3.02米,3042,根,,2020-04-12 10:31:03
,铝合金,ZA57-铬化（3.07米）,200,根,,2020-04-12 10:28:35
,方料,21*35.5-3.02米,18579,根,,2020-04-12 10:28:09
,铝合金,320-铬化（3.07米）,441,根,,2020-04-05 08:11:32
,型材,PF30-20*22-12U-3.02米,90,根,,2020-04-04 12:17:01
,木皮,24#黑胡桃1001S (30cm ),2010,米,,2020-04-04 12:14:56
,木皮,18#橡木108DS（29cm ),5185,米,,2020-04-04 12:14:09
,木皮,18#橡木108DS(16cm ),9976,米,,2020-04-04 12:13:22
,木皮,08#柚木3347Q（30cm),2048,米,,2020-04-04 12:12:27
,木皮,08#柚木3347Q（8cm),2016,米,,2020-04-04 12:11:18
,木皮,23#黑橡24S (30cm ),2086,米,,2020-04-04 12:10:07
,木皮,23#黑像24S（8cm),2040,米,,2020-04-04 12:08:39
,木皮,04#黑杏AE 03S (30cm ),1581,米,,2020-04-04 12:06:02
,木皮,04#黑杏AE 03S (16cm ),690,米,,2020-04-04 12:04:53
,木皮,04#黑杏AE 03S (16cm ),1340,米,,2020-04-04 12:04:11
,木皮,04#黑杏AE 03S (14cm ),2030,米,,2020-04-04 12:03:38
,木皮,04#黑杏AE 03S (8cm ),2026,米,,2020-04-04 12:02:43
,木皮,11#秋香801c (30cm),1975,米,,2020-04-04 12:01:50
,木皮,16#秋香09S (9.2cm ),1608,米,,2020-04-04 12:00:52
,木皮,16#秋香09S (8cm ),1600,米,,2020-04-04 11:59:56
,木皮,16#秋香09S（16cm),1525,米,,2020-04-04 11:59:18
,木皮,16#秋香09S（14cm),1525,米,,2020-04-04 11:57:32
,木皮,20#黑木(5.5cm ),476,米,,2020-04-04 11:54:14
,木皮,20#黑木(8cm ),1428,米,,2020-04-04 11:53:32
,木皮,20#黑木(8cm ),1920,米,,2020-04-04 11:52:52
,铝合金,350-棕色砂纹（3.07米）,300,根,,2020-04-04 05:46:03
,铝合金,350-白砂纹（3.07米）,420,根,,2020-04-04 05:45:36
,铝合金,350-喷砂拉丝亚黑（3.05米）,491,根,,2020-04-04 05:45:06
,铝合金,320-喷砂拉丝亚黑（3.05米）,978,根,,2020-04-04 05:44:22
,型材,PF31-20*22-12U-2.43米（LVL）,45,根,,2020-04-04 05:39:24
,型材,PF31-20*22-9U-2.43米（LVL）,997,根,,2020-04-04 05:37:57
,方料,LVL 21*19*2.43米,1059,根,,2020-04-04 04:50:37
,型材,PF30-20*22-12U-3.02米,1300,根,,2020-04-04 04:46:45
,型材,PF31-20*22-9U-3.02米,1420,根,,2020-04-04 04:46:09
,方料,20*22-3.02米,2720,根,,2020-04-04 04:42:46
,型材,PF16-20（宽）*40（高）-3.02米,396,根,,2020-04-04 04:37:56
,方料,15*28-3.02米,1000,根,,2020-04-04 04:36:30
,型材,LF01-25*45-3.02米,995,根,,2020-04-04 04:35:59
,铝合金,ZA72-喷砂拉丝亚黑（3.05米）,596,根,,2020-04-04 03:59:02
,铝合金,350-喷砂拉丝亚黑（3.05米）,1089,根,,2020-04-04 03:57:29
,铝合金,350-白砂纹（3.07米）,2592,根,,2020-04-04 03:57:00
,铝合金,508-喷砂拉丝亚黑（3.05米）,226,根,,2020-04-04 03:56:28
,铝合金,508-喷砂三酸拉丝亮金（3.05米）,710,根,,2020-04-04 03:56:01
