Name,Material,Spec,Quantity,Unit,Remarks,Time
,方料,21*22-3.02米,11615,根,,2020-06-25 10:06:14
,方料,20*40-3.06米,2156,根,,2020-06-25 10:00:36
,方料,20*40-3.02米,7295,根,,2020-06-25 09:59:50
,方料,20*22-3.02米,558,根,,2020-06-25 09:57:27
,方料,19*42-3.02米（无指接松木）,1295,根,,2020-06-25 09:56:24
,方料,19*38-1.835米,1512,根,,2020-06-25 09:55:44
,方料,19*35（34）-3.02米,12140,根,,2020-06-25 09:54:58
,方料,16*43-3.02米,3920,根,,2020-06-25 09:54:31
,方料,15*35.5-3.02米,1550,根,,2020-06-25 09:53:58
,方料,15*35.5-3.02米,1550,根,,2020-06-25 09:53:57
,方料,15*35.5-1.9米,13817,根,,2020-06-25 09:53:04
,方料,15*28-3.02米,4559,根,,2020-06-25 09:51:55
,方料,13*43-3.02米,1585,根,,2020-06-25 09:51:17
,成品,PF22-17,200,根,,2020-06-25 09:50:33
,成品,PF06-22,300,根,,2020-06-25 09:49:32
,成品,PF05-26,500,根,,2020-06-25 09:49:06
,型材,YS108-20*35*-3.02米,261,根,,2020-06-25 09:47:24
,型材,PF36-15*80（2.44米）,750,根,,2020-06-25 09:46:50
,型材,PF31-20*22-9U-3.02米,1627,根,,2020-06-25 09:45:47
,型材,PF31-20*22-9U-2.43米（LVL）,964,根,,2020-06-25 09:44:58
,型材,PF26-28（宽）*21（高）-3.02米,306,根,,2020-06-25 09:42:52
,型材,PF23-18（宽）*40（高）-3.02米,156,根,,2020-06-25 09:42:22
,型材,PF22-20（宽11.4）*40（高）-3.02米,515,根,,2020-06-25 09:41:41
,型材,PF16-20（宽）*40（高）-3.02米,396,根,,2020-06-25 09:41:16
,型材,PF15-20*60-3.02米,50,根,,2020-06-25 09:40:43
,型材,PF12-22*20-3.02米,180,根,,2020-06-25 09:39:57
,型材,PF10-40(宽）*22（高）-3.02米,170,根,,2020-06-25 09:39:19
,型材,PF09-20*50.8-3.02米,595,根,,2020-06-25 09:38:51
,型材,PF08-48*28-3.02米,198,根,,2020-06-25 09:37:44
,型材,PF07-28*48-3.02米,348,根,,2020-06-25 09:37:04
,型材,PF06-28*33-3.02米,359,根,,2020-06-25 09:35:27
,型材,PF05-15*40-3.02米,1277,根,,2020-06-25 09:34:42
,型材,PF04-15*28-3.02米,753,根,,2020-06-25 09:34:19
,型材,PF01-18*33-3.02米,1393,根,,2020-06-25 09:32:55
,型材,LF03-30*35（7）-3.02米,208,根,,2020-06-25 09:32:08
,型材,LF02-30*50-3.06米,879,根,,2020-06-25 09:30:38
,型材,LF02-30*50-3.02米,4125,根,,2020-06-25 09:29:53
,型材,LF01-25*45-3.02米,959,根,,2020-06-25 09:29:24
,铝合金,ZA57-铬化（3.07米）,220,根,,2020-06-25 06:37:34
,铝合金,ZA72-喷砂拉丝亮金（3.05米）,8023,根,,2020-06-25 05:52:16
,铝合金,ZA72-喷砂拉丝亚黑（3.05米）,696,根,,2020-06-25 05:51:38
,铝合金,ZA65-喷砂拉丝亚黑（3.05米）,73,根,,2020-06-25 05:50:48
,铝合金,ZA65 (P450637)-铬化（3.07米）,29,根,,2020-06-25 05:50:23
,铝合金,ZA64 (X240710)-铬化（3.07米）,41,根,,2020-06-25 05:49:29
,铝合金,ZA63-喷砂拉丝亮金（2.44米）,192,根,,2020-06-25 05:48:24
,铝合金,ZA58-喷砂拉丝亚黑（3.05米）,16,根,,2020-06-25 05:47:40
,铝合金,ZA57-铬化（3.07米）,911,根,,2020-06-25 05:44:58
,铝合金,ZA56 (X400922)-铬化（3.07米）,1093,根,,2020-06-25 05:44:14
,铝合金,ZA55-铬化（3.07米）,30,根,,2020-06-25 05:43:28
,铝合金,ZA43-浅灰砂纹（3.07米）,68,根,,2020-06-25 05:41:00
,铝合金,ZA36 (X311215)-铬化（3.07米）,1195,根,,2020-06-25 05:40:22
